13537.M_train,92
05452.M_train,"232,70"
05453.M_train,97
05451.M_train,"86,31"
05456.M_train,132
05457.M_train,"238,111"
05454.M_train,240
05458.M_train,"118,190,51,144,190"
05459.M_train,5
13630.M_train,"101,39"
05358.M_train,9
05359.M_train,"152,3,192"
05356.M_train,"177,60"
05357.M_train,217
05354.M_train,"162,222,199"
05355.M_train,168
05352.M_train,40
05353.M_train,238
05351.M_train,109
12601.M_train,175
13525.M_train,"65,65,135"
13524.M_train,103
06659.M_train,160
07588.M_train,"204,189"
13523.M_train,"135,107"
13522.M_train,128
06653.M_train,"22,79"
06652.M_train,"181,74"
06651.M_train,142
06657.M_train,14
06656.M_train,71
11059.M_train,132
11058.M_train,86
10066.M_train,"17,17"
11053.M_train,162
11051.M_train,56
11055.M_train,"240,187,86"
11054.M_train,"164,65"
01886.M_train,58
01887.M_train,59
01885.M_train,"77,169"
01883.M_train,139
01880.M_train,"63,87,75"
01881.M_train,230
12650.M_train,239
01888.M_train,242
01889.M_train,91
07208.M_train,9
10060.M_train,"93,146,97"
11725.M_train,76
11724.M_train,199
11727.M_train,58
14042.M_train,"140,63"
14043.M_train,2
14040.M_train,231
11726.M_train,"167,25"
14046.M_train,"217,137"
14047.M_train,"216,125,217"
10038.M_train,189
10037.M_train,"187,31"
10034.M_train,59
10032.M_train,"177,71,217"
10031.M_train,"222,29"
10030.M_train,194
11722.M_train,"211,42"
11198.M_train,138
11199.M_train,"236,38"
13140.M_train,"103,160"
13141.M_train,"217,227,138"
13144.M_train,"36,7,38"
13145.M_train,245
11190.M_train,"119,119"
11191.M_train,51
11192.M_train,112
11193.M_train,"135,15"
11195.M_train,22
11197.M_train,"149,150"
12034.M_train,"117,162,222,223"
13485.M_train,140
05339.M_train,"52,89,52"
05338.M_train,"44,180"
05337.M_train,46
05336.M_train,198
05335.M_train,30
05333.M_train,"224,132"
05332.M_train,"85,28,160"
05331.M_train,103
05330.M_train,"187,189,109,114"
10880.M_train,0
10881.M_train,"139,107"
10882.M_train,77
10883.M_train,"160,160"
10884.M_train,60
10885.M_train,88
10886.M_train,"160,160"
10887.M_train,177
10888.M_train,"247,222,117,162,29"
00817.M_train,205
00816.M_train,"204,166"
00815.M_train,222
00814.M_train,"186,204"
00813.M_train,"87,60"
00812.M_train,"197,52,234,197"
00811.M_train,"88,135,139"
00810.M_train,"47,33"
05010.M_train,"187,244"
05011.M_train,33
05014.M_train,89
05015.M_train,63
04196.M_train,"31,83"
04194.M_train,"28,24"
04195.M_train,56
04192.M_train,15
04193.M_train,34
04190.M_train,"8,233,233"
04191.M_train,71
04198.M_train,106
04199.M_train,72
10089.M_train,136
10088.M_train,63
10085.M_train,16
10084.M_train,"216,245"
10087.M_train,"75,160,109"
10086.M_train,48
10081.M_train,112
10080.M_train,168
10083.M_train,34
12429.M_train,"128,188"
08698.M_train,223
12609.M_train,"214,55"
10213.M_train,160
10212.M_train,"172,163"
10210.M_train,219
10217.M_train,"71,125"
10216.M_train,"164,15"
10214.M_train,204
10218.M_train,"90,167,48,12"
13663.M_train,"191,246,60"
13234.M_train,222
05658.M_train,123
05659.M_train,18
05651.M_train,"45,234"
05652.M_train,145
05653.M_train,"79,16,79,22,79"
05654.M_train,"75,103"
05655.M_train,9
05657.M_train,236
12595.M_train,"58,28,24,98"
08364.M_train,190
02006.M_train,33
02005.M_train,"215,19,18"
02004.M_train,243
02003.M_train,"189,153"
02002.M_train,190
02001.M_train,"1,97"
09110.M_train,56
13527.M_train,"4,4"
02009.M_train,"237,154,180"
02008.M_train,206
13526.M_train,156
13521.M_train,61
13520.M_train,237
02000.M_train,"135,88"
10388.M_train,"17,127,129"
07584.M_train,84
07585.M_train,238
10381.M_train,162
10382.M_train,"146,195"
10384.M_train,"141,181,55,55"
07586.M_train,63
10386.M_train,"14,186"
10387.M_train,186
12305.M_train,205
07580.M_train,248
10129.M_train,197
07581.M_train,23
02762.M_train,52
02763.M_train,"109,109"
02760.M_train,"189,204,14"
02761.M_train,96
02766.M_train,30
02767.M_train,"75,130,109"
02764.M_train,150
02765.M_train,169
02768.M_train,160
02769.M_train,"206,154"
13024.M_train,244
07528.M_train,177
10122.M_train,108
10121.M_train,73
06500.M_train,246
01159.M_train,"35,217"
01158.M_train,217
01153.M_train,"160,233"
01152.M_train,"205,0,0"
01151.M_train,124
01156.M_train,88
01155.M_train,166
01154.M_train,"54,21,73"
12946.M_train,"69,70"
12947.M_train,"202,59,100"
12944.M_train,54
12945.M_train,"109,63,160,140,87"
12942.M_train,212
10125.M_train,79
12940.M_train,153
12941.M_train,"9,9,109"
10124.M_train,89
12948.M_train,160
12949.M_train,129
11056.M_train,193
13891.M_train,"187,187"
00029.M_train,"197,234,197,89"
11600.M_train,224
11299.M_train,"178,100,178"
11295.M_train,154
11294.M_train,63
11297.M_train,"95,95"
11296.M_train,193
11291.M_train,169
10365.M_train,47
08589.M_train,220
08588.M_train,"222,247,247,247,247"
08582.M_train,"137,0,156,123"
08581.M_train,"209,209,59"
08580.M_train,"56,12,63"
08587.M_train,"84,60,51"
08586.M_train,3
08585.M_train,"112,30,206"
00326.M_train,126
00327.M_train,"147,178,178"
00324.M_train,136
00325.M_train,29
00322.M_train,75
00323.M_train,15
00320.M_train,"234,145"
00321.M_train,2
08682.M_train,"100,202"
08681.M_train,88
